Key,Translation
"Bestiary_FlavorText.npc_Parrot","Ironically, the reason Derplings fear parrots has nothing to do with this breed."
"Bestiary_FlavorText.npc_PirateShip","The Pirates are Terrarians which have no known landmass they call home, living their entire life on the seas or pillaging continents in the Archipelago.  Their boats can fly short distances using the innate Terrarian magic they possess."
"Bestiary_FlavorText.npc_BrainScrambler","Their apt name comes from their weapon, which can cause conflicting communication between a Greater Terrarian and their Higher Being."
"Bestiary_FlavorText.npc_RayGunner","Their lower rank in the Martian army is denoted by their lack of protective equipment."
"Bestiary_FlavorText.npc_MartianEngineer","These martians are equipped with a powerful exosuit capable of  deploying nanites in order to rapidly build smaller structures. "
"Bestiary_FlavorText.npc_MartianOfficer","Martian forcefields are quite weak when applied to smaller targets.  They exponentially increase in strength the larger they are, which defies logic but somehow works."
"Bestiary_FlavorText.npc_GigaZapper","A rare melee attacker in the martian forces."
"Bestiary_FlavorText.npc_Scutlix","How these creatures fire lasers from their eyes is a mystery the martians are reluctant to answer."
"Bestiary_FlavorText.npc_GrayGrunt","The weakest of Martians, who only came because they were paid to. They hope to simply meet the quota of kills and collect their money in order to escape poverty."
"Bestiary_FlavorText.npc_MartianWalker","These tall and lanky units are highly impractical and frail structurally, but it has become tradition for them to accompany during an invasion."
"Bestiary_FlavorText.npc_MartianTurret","A human named Tesla was among the first to harness the power of electricity and create human technology.  Why the Martians would honor him is bizarre and unknown."
"Bestiary_FlavorText.npc_MartianDrone","Thankfully, these units do not have a pilot, so their explosion is not a suicidal one."
"Bestiary_FlavorText.npc_ScutlixRider","Ray Gunners which have climbed a single rank and earned the privilege of riding an unruly and dangerous animal."
"Bestiary_FlavorText.npc_Fritz","The nightmare of the curious.  A fear of those who sabotage everything."
"Bestiary_FlavorText.npc_Frankenstein","The nightmare of the organic.  A fear of a those who tinker with other's flesh as if they were a mere machine."
"Bestiary_FlavorText.npc_CreatureFromTheDeep","The nightmare of the hunted.  A fear of what one's base instincts may turn them into."
"Bestiary_FlavorText.npc_SwampThing","The nightmare of the traveler. A fear of what may lurk below."
"Bestiary_FlavorText.npc_DrManFly","The nightmare of the scientist.  A fear of the the unknown."
"Bestiary_FlavorText.npc_ThePossessed","The nightmare of the occult.  A fear of loss of control."
"Bestiary_FlavorText.npc_Psycho","The nightmare of the restrained.  A fear of what one's instincts might make them do."
"Bestiary_FlavorText.npc_Butcher","The nightmare of the killer.  A fear of justice."
"Bestiary_FlavorText.npc_Vampire","The nightmare of the furious. A fear of what one might do in bloodlust."
"Bestiary_FlavorText.npc_Eyezor","The nightmare of the watched. A fear of what lurks in the dark."
"Bestiary_FlavorText.npc_Nailhead","The nightmare of the tortured. A fear of pain."
"Bestiary_FlavorText.npc_Reaper","The nightmare of the living. A fear of the inevitable."
"Bestiary_FlavorText.npc_DeadlySphere","The nightmare of the tinkerer.  A fear of one's own creation."
"Bestiary_FlavorText.npc_Mothron","The nightmare of the Dragons. A fear of fear itself."
"Bestiary_FlavorText.npc_MothronSpawn","The nightmare of the infant.  A fear of the future."
"CommonBestiaryFlavor.Scarecrow","This seems to be an animated form of an inanimate object, but they do not match any of our records of any similar objects with an inanimate form."
"Bestiary_FlavorText.npc_Splinterling","Cowell is the tenth moon of Terraria and has three forms.  The most common form, the black form, is invisible to the naked eye on most nights."
"Bestiary_FlavorText.npc_Poltergeist","Ghosts normally are not able to possess objects like this.  It seems that this is an exception."
"Bestiary_FlavorText.npc_Hellhound","A close cousin of the wolves, particularly thriving in autumnal environments.  That being said, autumnal environments don't actually exist on this planet..."
"Bestiary_FlavorText.npc_HeadlessHorseman","Terraria does not have any kind of seasonal variation due to an incredibly small amount of irregularity within its rotational axis.  Many creatures showing up during this night should not normally be able to exist in this world as a result."
"Bestiary_FlavorText.npc_MourningWood","Cowell's other forms, the blue and orange forms, only appear when a Greater Terrarian has forcibly attracted some of the many dimensional intersections within the moon towards themself.  In the blue form's case, this causes the surface  of the planet to freeze over with no other repercussions.  In the orange form's case, however, the intersections are drawn much, much closer to Terraria than the other form."
"Bestiary_FlavorText.npc_Pumpking","We should consider ourself lucky that the dimensional refuse from a version of Terraria with seasonal variation only shows up through arcane rituals.  Having to deal with the Pumpkings' army on a daily basis sounds appropriately nightmarish."
"CommonBestiaryFlavor.ZombieElf","Santa took advantage of the infected in order to turn them into his toymaking servants."
"Bestiary_FlavorText.npc_GingerbreadMan","A smiling cookie serves as excellent bait for would-be toys."
"Bestiary_FlavorText.npc_ElfArcher","Hot Arrows in your area. Delivered right to your face."
"Bestiary_FlavorText.npc_NutcrackerSpinning","Ironically, it tends to crack skulls more than what its name would imply."
"Bestiary_FlavorText.npc_Krampus","Santa's archenemy turned ally.  A warrior of justice turned evil."
"Bestiary_FlavorText.npc_Yeti","A feral creature long extinct from the Tundra.  It's thought they are distantly related to Snow Flinx."
"Bestiary_FlavorText.npc_PresentMimic","Fortunately, not all participants in the Frost Moon are malevolent. Some just wish to give you their payload of hearts in order to help you survive the night.  Too bad their teeth are sharp as ever."
"Bestiary_FlavorText.npc_Everscream","Its ornaments are filled with toxic fluids that can slowly kill plant life if you allow it to build up.  "
"Bestiary_FlavorText.npc_IceQueen","Those who've been naughty will soon be gone.  They aren't actually the queens of this invasion, serving more as a commanders' role here and a princess' role back home. The true Ice Queen teleports her many minions to islands in the Archipelago where the blue form of Cowell can be sighted."
"Bestiary_FlavorText.npc_SantaNK1","By far the deadliest of the Frost Moon's soldiers.  Be on your guard against them, for they have half a dozen ways to make swiss cheese out of an unsuspecting Terrarian."
"Bestiary_FlavorText.npc_ElfCopter","An innocent looking toy might be hiding a hail of bullets."
"Bestiary_FlavorText.npc_Flocko","She's coming..."
"Bestiary_FlavorText.npc_SlimeMasked","Surprisingly, this disguise actually seems to work against some of the less intelligent forest creatures. A valuable scout for this reason."
"CommonBestiaryFlavor.CostumeDemonEye","Some particularly mischievous Terrarians like to disguise demon eyes so they can barrel right into anyone foolish to mistake them for something else."
"CommonBestiaryFlavor.CostumeZombie","The ambient Ecto Mist present everywhere during the Halloween season can trick your eyes into seeing things that aren't there."
"CommonBestiaryFlavor.CostumeSkeleton","I don't see anything different.  Why is this a separate entry?"
"CommonBestiaryFlavor.RibbonSlime","Unwrapping this scout might not be the best idea.  You might give the Derplings more data than you consented for..."
"CommonBestiaryFlavor.ZombieXmas","The bloodthirsty instincts of zombies make for ideal material collectors for Saint Nick."
"Bestiary_FlavorText.npc_SnowmanGangsta","The main threats of the Frost Legion.  I hope you're wearing something bulletproof."
"Bestiary_FlavorText.npc_SnowBalla","The Higher Beings have neglected to give gifts to the Frost Legion in any form for quite some time, something highly apparent in this creature's abilities."
"Bestiary_FlavorText.npc_MisterStabby","If he stabs the air enough, surely you'll lose your breathing."
"Bestiary_FlavorText.npc_NebulaSoldier","In a lawless wasteland, sometimes all you need to survive is to perceive a few precious seconds from the future."
"Bestiary_FlavorText.npc_NebulaBeast","An apex predator from a dying world. It's unlikely this beast will evolve further, ironically."
"Bestiary_FlavorText.npc_NebulaHeadcrab","A planet so late in its lifespan unfortunately is bound to give birth to some unsavory species.  One that extracts brains directly from its victims is no exception."
"Bestiary_FlavorText.npc_NebulaBrain","Intelligence and sight have become so valuable in the post-apocalypse that the Nebula Floater boasts little else.  The ability to control space probably helped too."
"Bestiary_FlavorText.npc_SolarDrakomire","A mount which flourishes under intense heat, and can even fire balls of intense heat itself."
"Bestiary_FlavorText.npc_SolarSolenian","These physically powerful warriors from the peak of Lunar society can gyrate so quickly that they can reflect most projectiles back at their caster."
"Bestiary_FlavorText.npc_SolarSpearman","Lunar society is flourishing so much that a spear made out of the sun is not only creatable but controllable.  I wonder if you could make one yourself?"
"Bestiary_FlavorText.npc_SolarCrawltipedeHead","The Scourge of the skies and the most powerful predator from the entirety of Lunar history. Extinction, however, seems inevitable, considering that serious weak spot on their tail..."
"Bestiary_FlavorText.npc_SolarSroller","Sometimes on a young planet, even the rocks can move."
"Bestiary_FlavorText.npc_SolarCorite","One of the most feared creatures the Lunars offer.  They were so powerful that a Dimensional Shift specifically targeted them."
"Bestiary_FlavorText.npc_SolarDrakomireRider","A sign that Lunar society is at its peak.  Unfortunately, it's only down from here."
"Bestiary_FlavorText.npc_VortexLarva","A species that became quite prevalent after the collapse of the Solar Empire.  It has yet to incubate into its stronger form, so take care of it quickly."
"Bestiary_FlavorText.npc_VortexHornet","These vortexian insects can warp through space to ambush their prey out of nowhere.  They still have a ways to go before they're at their highest form."
"Bestiary_FlavorText.npc_VortexSoldier","Physically weak due to the decline of their society, what was supposed to be a powerful electromancer only releases their charge on their demise."
"Bestiary_FlavorText.npc_VortexRifleman","Times are hard in the Vortexian Settlement.  Their technology is highly advanced, but the production lines are extremely defunct and broken so they unfortunately don't have access to nearly as much of their equipment as they're supposed to."
"Bestiary_FlavorText.npc_VortexHornetQueen","This Alien Hornet has matured to the point where it can birth multiple larvae in a matter of seconds and is too large to fit through portals. If their saliva makes contact with you, be prepared to float around for a while."
"Bestiary_FlavorText.npc_StardustSoldier","A primitive Lunarian which has barely discovered fire.  The stars are quite bright on their homeworld, as there are both a ton of young stars and not many light sources to drown them out."
"Bestiary_FlavorText.npc_StardustSpiderBig","A primitive spidery creature which is highly ineffective in combat.  Unfortunately such is the trend for Stardust creatures"
"Bestiary_FlavorText.npc_StardustWormHead","Also known as a protopede, They are quite weak right now, but will evolve into something terrifying several years down the line."
"Bestiary_FlavorText.npc_StardustCellBig","A single-celled organism which harnesses the copious energy of the stardust homeworld to undergo mitosis with no limit.  If you're not efficient at taking it out, you'll end up with more than you started."
"Bestiary_FlavorText.npc_StardustCellSmall","A single-celled organism which harnesses the copious energy of the stardust homeworld to undergo mitosis with no limit.  If you're not efficient at taking it out, you'll end up with more than you started."
"Bestiary_FlavorText.npc_StardustJellyfishBig","A prehistoric squid-like creature which is incredibly fertile.  It infuses its children with ambient energy and fires them at its victims."
"Bestiary_FlavorText.npc_MartianSaucerCore","The Martians hold a petty feud with the Terrarians, the reason being that their races' name is often mispronounced.  They are native to one of Terraria's moons (Marti specifically) and as a result their name is pronounced Martee-ins. Perhaps this pronunciation will one day grow widespread enough that they will no longer hold this feud, but for now you are faced with weapons of mass destruction."
"Bestiary_FlavorText.npc_TorchGod","The Fickle Flame himself, the most powerful of the Higher Beings.  There are many Higher Beings who have contributed to the construction of the world, but the Fickle Flame was the first and the only one that you can directly commune with using a proper ritual setup."
"Bestiary_FlavorText.npc_EyeofCthulhu","Of Cthulhu is a title given to notably colossal monsters and their servants, similarly to how the Demon title is given to somewhat large variants of small objects.  The Eye of Cthulhu is a result of a Dark Spirit imbuing an ordinary Demon Eye with its powers. Sent to eliminate whatever it deems a threat."
"Bestiary_FlavorText.npc_ServantofCthulhu","A swirling mass of tiny Demon Eyes lives within the pupil of their master.  They are either ejected at will or when the Eye of Cthulhu has taken too much damage to contain them."
"Bestiary_FlavorText.npc_KingSlime","An excessively large slime used for low-level Terrarian Assessment.  This is the first test the Derplings have thrown your way, so be proud you've completed it!"
"Bestiary_FlavorText.npc_EaterofWorldsHead","An incredibly large worm that can only be roused by a repeated release of dark energy. These have an incredibly low metabolism and are rarely seen, as they normally lie dormant within the Ebonstone of the Corruption."
"Bestiary_FlavorText.npc_BrainofCthulhu","The Crimson's mastermind and beating heart, or at least a hallucinatory construct of it.  It requires the many smaller hearts for assistance in oxygenating the Crimson, so destroying them is sure to get its attention."
"Bestiary_FlavorText.npc_Creeper","The eyes of the Brain. Destroy enough of these to render the Brain blind until it can expose its own personal eye as a weakpoint."
"Bestiary_FlavorText.npc_Deerclops","A particularly large bit of flotsam from a planar intersection, this large creature is notorious for being persistent to the point that it will continue to wreak havoc even after it's destroyed you."
"Bestiary_FlavorText.npc_SkeletronHead","The Duty of the Shelled Dragons. Skeletron is the Dungeon's defense system.   The Derplings created Skeletron in order to simultaneously guard the dungeon and provide the first layer of the Great Seal."
"Bestiary_FlavorText.npc_QueenBee","Protector of honey, larvae, and honeycomb.  This gigantic bee is highly territorial and has every right to be, considering how much she has to lose."
"Bestiary_FlavorText.npc_WallofFlesh","The Duty of the Hallow. The Guide's true form and his final test for you, the Greater Terrarian. A being made of flesh, darkness, and light, this is the Second Layer of the Great Seal and jailer of many powerful spirits.  If you can get past this, your world will never be the same."
"Bestiary_FlavorText.npc_LeechHead","One of the Guide's many servants, this represents the darkness and writhing mass of the Corruption."
"Bestiary_FlavorText.npc_TheHungry","One of the Guide's many servants, this represents the flesh and endless hungering conquest of the Crimson."
"Bestiary_FlavorText.npc_TheHungryII","One of the Guide's many servants, this represents the flesh and endless hungering conquest of the Crimson."
"Bestiary_FlavorText.npc_QueenSlimeBoss","Gelatin Crystals are actually a gelatinous lattice of incredibly powerful tiny crystals called Nanoprisms.  You tried to consume the Gelatin Crystal, which tripped a security alarm and alerted the Queen Slime to your location."
"Bestiary_FlavorText.npc_QueenSlimeMinionBlue","Nanoprisms are the primary export of the Hallow, which is why they're so closely guarded."
"Bestiary_FlavorText.npc_QueenSlimeMinionPink","Unlike the Corruption and Crimson, the Hallow is actually on very good terms with the Derplings as they are their primary supplier of Nanoprisms."
"Bestiary_FlavorText.npc_QueenSlimeMinionPurple","In exchange for Nanoprisms, the Derplings provide the hallow with security in various forms such as Chaos Elementals and the Queen Slime herself."
"Bestiary_FlavorText.npc_Retinazer","The Duty of the Furred Dragons. A power inspired by the Eye of Cthulhu, this mechanical eye fires high-velocity laser blasts at its target.  The third layer of the Great Seal is comprised of all the mechanical powers inspired."
"Bestiary_FlavorText.npc_Spazmatism","The Duty of the Furred Dragons. A power inspired by the Eye of Cthulhu, this mechanical eye immolates its target with an extremely similar substance to the Cursed Flames of the Corruption.  The third layer of the Great Seal is comprised of all the mechanical powers inspired."
"Bestiary_FlavorText.npc_TheDestroyer","The Duty of the Furred Dragons. A power inspired by the Eater of Worlds, this mechanical worm sends countless tremors through the earth and fires an innumerable amount of lasers at all nearby Terrarians.  The third layer of the Great Seal is comprised of all the mechanical powers inspired."
"Bestiary_FlavorText.npc_Probe","A servant of The Destroyer, which fires lasers at Terrarians independently from its master."
"Bestiary_FlavorText.npc_SkeletronPrime","The Duty of the Furred Dragons. A power inspired by Skeletron, this mechanical skeleton has several tools to take you down.  Unfortunately it lacks the agility to properly use them. The third layer of the Great Seal is comprised of all the mechanical powers inspired."
"Bestiary_FlavorText.npc_Plantera","The Duty of the Core of Life.  Plantera is one of the Core of Life's many offspring who nurtures and cultivates the Jungle.  She also doubles as the Fourth layer of the Great Seal.  "
"Bestiary_FlavorText.npc_HallowBoss","The embodiment of the Hallow itself, only intervening once significant damage has been done to the monthly Nanoprism quota due to outside circumstances.  As the master of light, she can cast an illusion of herself halfway through the fight which allows her to flee the fight and continue it remotely.  She draws her power from the sun, and will properly reward any Terrarian skilled enough to face her at her full might."
"Bestiary_FlavorText.npc_Golem","This construct protects the Lihzahrd's stash of Solar and Lunar Tablets. The purpose of Solar Tablets is quite obvious, but the Lunar Tablet's purpose remains to be seen."
"Bestiary_FlavorText.npc_DukeFishron","The Duke was the only Gilled Dragon to spurn the powers of the Six Spirits.   Like most other true and untainted dragons he is truly immortal and can regenerate from his mangled remains.  He is quite depressed due to every other Gilled Dragon effectively leaving him, but the sight of his favorite snack can probably get him moving again."
"Bestiary_FlavorText.npc_Sharkron","These are the Duke's servants, shark-dragon hybrids. They are infertile and as a result the Duke must constantly recruit new ones in order to maintain his army."
"Bestiary_FlavorText.npc_CultistBoss","The Lunar Tablet was the final layer of the Great Seal.  The Cultist, a Lihzahrd, was the only one to be aware of this and conducted a ritual to try and protect the tablet from the powerful soul within. As an act of desperation, he bound this soul to his own life, and the resulting lunacy forced him to attack you.  Do not mourn him, he may have been protecting you, but you probably have bigger things to worry about now.  It's not like he won't just respawn, anyway."
"Bestiary_FlavorText.npc_CultistDevote","The Ritual of Restraint takes ample concentration.  An interruption would probably throw a wrench into things."
"Bestiary_FlavorText.npc_CultistArcherBlue","The bodyguards of the Lunatic Devotees.  They are quite weak by your standards, however."
"Bestiary_FlavorText.npc_AncientCultistSquidhead","An omen of what lies within the Lunatic Cultists' soul.  This will not be the last time you are faced with this visage."
"Bestiary_FlavorText.npc_CultistDragonHead","A weapon forged by Dragons long ago, this ghostly creature was never truly alive."
"Bestiary_FlavorText.npc_LunarTowerNebula","Decay begets Ruin, the Cycle's Arbiter.  Betrayed its master in order to act as an honorary layer of the Great Seal."
"Bestiary_FlavorText.npc_LunarTowerSolar","Creation begets Strength, the Cycle's Zenith.  Betrayed its master in order to act as an honorary layer of the Great Seal."
"Bestiary_FlavorText.npc_LunarTowerVortex","Strength begets Decay, the Cycle's Volition.  Betrayed its master in order to act as an honorary layer of the Great Seal."
"Bestiary_FlavorText.npc_LunarTowerStardust","Ruin begets Creation, the Cycle's Genesis.  Betrayed its master in order to act as an honorary layer of the Great Seal."
"Bestiary_FlavorText.npc_MoonLordCore","Eons ago, during the War of Light and Dark, The Spirits of Darkness needed a weapon.  They forged it, the Dark Lord, and quickly cast it aside when they realized it was useless against the Spirits of Light.  The Spirits of Light eventually found it and repurposed it, but they could not control it.  However, they had already infused it with their light, transforming it into the Moon Lord.  It was cast aside all the same.  The Dragons who were fighting in the War, after destroying the Harmony, Hoard, and Cypher, had been crippled by the Gilled Dragons and as a result needed a weapon.  They searched through the spoils and eventually found one that would be incredibly powerful.  They resurrected the Moon Lord and augmented it with their magic and technology, granting it servants known as the Celestial Pillars.  But alas, the beast could not be controlled.  The Moon Lord became the largest threat in the entire war due to having power from every party, and as a result all three sides quickly were fighting for their lives against this new opponent.  The Dragons and Hallow formed an alliance, and created the five layers of the Great Seal to keep it and its Celestial Pillars within.  Additionally, the three remaining spirits of light and dark were sealed away, though the spirits of dark would begin to seep through the cracks.  While the Moon Lord was imprisoned, it amused itself by toying with the four pillars and forcing them to relive a constant cycle of death and rebirth on their homeworlds.  Eventually the pillars had enough, which is why they betrayed him and held him back one last time, additionally bestowing their gifts upon you.  Now that you have made it this far, you may do what you wish with your own personal island. I hope you enjoyed this journey, and I wish you the best.  See you next time!"
